INSTNM	LOCALE	LATITUDE	LONGITUDE
Alabama A & M University	12	34.7834	-86.5685
University of Alabama at Birmingham	12	33.5022	-86.8092
Amridge University	12	32.3626	-86.174
University of Alabama in Huntsville	12	34.7228	-86.6384
Alabama State University	12	32.3643	-86.2957
The University of Alabama	13	33.2144	-87.5458
Central Alabama Community College	32	32.9244	-85.9465
Athens State University	31	34.8056	-86.9651
Auburn University at Montgomery	12	32.3699	-86.1774
Auburn University	13	32.6002	-85.4924
Birmingham Southern College	12	33.5155	-86.8536
Chattahoochee Valley Community College	41	32.4239	-85.0315
Concordia College Alabama	32	32.4223	-87.0242
South University-Montgomery	12	32.3427	-86.2165
Enterprise State Community College	32	31.2975	-85.837
James H Faulkner State Community College	32	30.852	-87.7798
Faulkner University	12	32.3842	-86.2164
Gadsden State Community College	13	33.9919	-85.9913
New Beginning College of Cosmetology	32	34.2593	-86.2
George C Wallace State Community College-Dothan	41	31.3161	-85.4636
George C Wallace State Community College-Hanceville	32	34.0734	-86.7817
George C Wallace State Community College-Selma	32	32.4456	-87.0132
Herzing University-Birmingham	21	33.4681	-86.8323
Huntingdon College	12	32.3509	-86.2853
Heritage Christian University	13	34.8591	-87.6621
J F Drake State Community and Technical College	12	34.7721	-86.5738
Jacksonville State University	13	33.8221	-85.7666
Jefferson Davis Community College	32	31.102	-87.0858
Jefferson State Community College	12	33.6524	-86.7074
John C Calhoun State Community College	41	34.6543	-86.9491
Judson College	43	32.6305	-87.3161
Lawson State Community College-Birmingham Campus	12	33.4517	-86.8902
University of West Alabama	43	32.5924	-88.1861
Lurleen B Wallace Community College	41	31.3229	-86.4523
Marion Military Institute	43	32.6224	-87.318
Miles College	21	33.4813	-86.9086
University of Mobile	41	30.7932	-88.1289
University of Montevallo	21	33.1063	-86.8651
Northwest-Shoals Community College	13	34.7396	-87.6773
University of North Alabama	13	34.8066	-87.681
Northeast Alabama Community College	42	34.5455	-85.9117
Oakwood University	12	34.7566	-86.6616
Alabama Southern Community College	41	31.4889	-87.3264
Prince Institute-Southeast	12	32.3831	-86.1622
Reid State Technical College	41	31.4607	-86.9645
Bishop State Community College	12	30.694	-88.057
Samford University	21	33.4646	-86.7909
Selma University	32	32.4204	-87.0338
Shelton State Community College	13	33.1205	-87.5615
Snead State Community College	32	34.2007	-86.1695
University of South Alabama	12	30.6951	-88.1819
Spring Hill College	12	30.6948	-88.1382
Southeastern Bible College	21	33.3789	-86.749
Stillman College	13	33.1992	-87.5852
Talladega College	32	33.4343	-86.1137
H Councill Trenholm State Technical College	12	32.3501	-86.3431
Troy University	41	31.8001	-85.9502
Tuskegee University	32	32.431	-85.7103
United States Sports Academy	13	30.6393	-87.9116
Bevill State Community College	32	33.8358	-87.265
University of Alaska Anchorage	11	61.1896	-149.8261
Alaska Bible College	32	62.113	-145.5262
University of Alaska Fairbanks	23	64.8571	-147.8248
University of Alaska Southeast	33	58.3843	-134.6363
Alaska Pacific University	11	61.1912	-149.8042
AVTEC-Alaska's Institute of Technology	43	60.1107	-149.4446
Charter College-Anchorage	11	61.1958	-149.8402
Prince William Sound Community College	43	61.1224	-146.178
Alaska Career College	11	61.1814	-149.857
Everest College-Phoenix	11	33.581	-112.1138
Collins College	11	33.4033	-111.9865
Empire Beauty School-Paradise Valley	11	33.6026	-111.9764
Empire Beauty School-Tucson	11	32.2357	-110.9272
Thunderbird School of Global Management	21	33.6209	-112.1809
American Indian College of the Assemblies of God Inc	11	33.5777	-112.0922
American Institute of Technology	11	33.4423	-112.1753
Carrington College-Phoenix	11	33.5608	-112.1155
Carrington College-Mesa	11	33.393	-111.8553
Carrington College-Tucson	11	32.2709	-110.978
College America-Flagstaff	13	35.2112	-111.6048
Arizona Academy of Beauty-East	11	32.2373	-110.8723
Arizona Automotive Institute	21	33.5372	-112.1573
Brookline College-Phoenix	11	33.5254	-112.1501
Arizona State University-Tempe	12	33.4219	-111.94
Arizona Western College	13	32.6893	-114.496
University of Arizona	11	32.2321	-110.9508
Southwest University of Visual Arts-Tucson	11	32.2524	-110.9273
Brillare Hairdressing Academy	12	33.624	-111.9255
Central Arizona College	41	32.9571	-111.6525
Brown Mackie College-Tucson	11	32.2367	-110.8951
Charles of Italy Beauty College	13	34.4753	-114.3281
Cochise College	42	31.3658	-109.6904
Empire Beauty School-Flagstaff	13	35.1972	-111.6259
Empire Beauty School-Chandler	21	33.3476	-111.8604
Cortiva Institute-Tucson	11	32.219	-110.8568
Avalon School of Cosmetology-Mesa	11	33.3766	-111.8583
Eastern Arizona College	33	32.8407	-109.7617
Embry-Riddle Aeronautical University-Prescott	41	34.6157	-112.4523
Frank Lloyd Wright School of Architecture	41	33.6072	-111.8465
Glendale Community College	21	33.5675	-112.1883
Grand Canyon University	11	33.5122	-112.1299
Anthem College-Phoenix	11	33.4943	-112.0502
International Academy of Hair Design	11	33.393	-111.8627
Kaplan College-Phoenix	11	33.6082	-112.1189
GateWay Community College	11	33.4495	-111.9965
Mesa Community College	11	33.3913	-111.8715
ITT Technical Institute-Tucson	21	32.2973	-110.9975
ITT Technical Institute-Tempe	12	33.3804	-111.9692
Mohave Community College	41	35.2707	-114.0302
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division	11	33.6844	-112.1213
Dine College	43	36.3276	-109.2947
Northern Arizona University	13	35.1801	-111.6577
Northland Pioneer College	41	34.9222	-110.1316
Ottawa University-Phoenix	11	33.5779	-112.1134
Phoenix College	11	33.4814	-112.0883
Cortiva Institute-Scottsdale	12	33.4666	-111.9084
University of Phoenix-Phoenix Campus	12	33.4123	-111.9802
Pima Community College	11	32.2268	-110.9852
Pima Medical Institute-Tucson	11	32.2504	-110.9213
Pima Medical Institute-Albuquerque	11	35.1055	-106.5947
Prescott College	13	34.5445	-112.4765
Refrigeration School Inc	11	33.4487	-111.9894
Rio Salado College	12	33.4131	-111.9752
Roberto-Venn School of Luthiery	11	33.4547	-112.0864
Hair Academy of Safford	41	32.8353	-109.7277
Scottsdale Community College	41	33.5095	-111.8873
South Mountain Community College	11	33.381	-112.0575
Arizona Christian University	11	33.5951	-112.0262
Tucson College	11	32.2218	-110.8835
Universal Technical Institute of Arizona Inc	22	33.4535	-112.2897
Western International University	12	33.6007	-112.1184
Empire Beauty School-NW Phoenix	11	33.5381	-112.1182
Yavapai College	13	34.5475	-112.4542
University of Arkansas at Little Rock	12	34.7266	-92.3418
University of Arkansas for Medical Sciences	12	34.7497	-92.3209
ABC Beauty College Inc	32	34.1223	-93.0816
Arkansas Baptist College	12	34.7348	-92.2906
Arkansas Beauty School	12	34.6691	-92.3348
Arkansas Beauty College	33	35.2786	-93.1352
Lyon College	33	35.7789	-91.6281
Arkansas College of Barbering and Hair Design	13	34.7536	-92.2663
Arthur's Beauty College Inc-Fort Smith	13	35.38	-94.411
University of Arkansas	13	36.0615	-94.1782
